Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Fenerbahçe,UEFA Europa League,J3,36%,204 of 299 — 68%,6 of 18 — 33%,2 of 2 — 100%
Stuttgart,UEFA Europa League,J3,64%,80% — 432 of 540,18% — 2 of 11,100% — 6 of 6
Celtic,UEFA Europa League,J3,65%,549 of 654 — 84%,6 of 20 — 30%,0 of 1 — 0%
Sturm Graz,UEFA Europa League,J3,35%,69% — 242 of 349,13% — 1 of 8,66% — 4 of 6
Nott'ham Forest,UEFA Europa League,J3,51%,411 of 492 — 84%,1 of 6 — 17%,1 of 1 — 100%
Porto,UEFA Europa League,J3,49%,82% — 392 of 480,10% — 1 of 10,100% — 1 of 1
Freiburg,UEFA Europa League,J3,52%,399 of 485 — 82%,7 of 14 — 50%,2 of 2 — 100%
Utrecht,UEFA Europa League,J3,48%,84% — 373 of 446,18% — 2 of 11,71% — 5 of 7
Young Boys,UEFA Europa League,J3,58%,456 of 544 — 84%,5 of 14 — 36%,2 of 4 — 50%
Ludogorets,UEFA Europa League,J3,42%,78% — 301 of 388,27% — 4 of 15,60% — 3 of 5
Maccabi Tel Aviv,UEFA Europa League,J3,46%,322 of 409 — 79%,3 of 12 — 25%,1 of 4 — 25%
Midtjylland,UEFA Europa League,J3,54%,80% — 383 of 479,33% — 4 of 12,100% — 3 of 3
Feyenoord,UEFA Europa League,J3,49%,413 of 512 — 81%,8 of 18 — 44%,4 of 5 — 80%
Panathinaikos,UEFA Europa League,J3,51%,81% — 433 of 532,42% — 5 of 12,62% — 5 of 8
Celta Vigo,UEFA Europa League,J3,65%,570 of 649 — 88%,5 of 25 — 20%,2 of 3 — 66%
Nice,UEFA Europa League,J3,35%,80% — 280 of 350,30% — 3 of 10,80% — 4 of 5
Roma,UEFA Europa League,J3,67%,468 of 571 — 82%,7 of 19 — 37%,0 of 2 — 0%
Viktoria Plzeň,UEFA Europa League,J3,33%,62% — 171 of 276,33% — 2 of 6,100% — 7 of 7
Lille,UEFA Europa League,J3,64%,515 of 610 — 84%,11 of 22 — 50%,2 of 6 — 33%
PAOK,UEFA Europa League,J3,36%,73% — 245 of 337,86% — 6 of 7,72% — 8 of 11
Malmö,UEFA Europa League,J3,26%,176 of 263 — 67%,3 of 6 — 50%,4 of 5 — 80%
Dinamo Zagreb,UEFA Europa League,J3,74%,87% — 638 of 737,23% — 5 of 22,66% — 2 of 3
Midtjylland,UEFA Europa League,J4,60%,391 of 491 — 80%,12 of 24 — 50%,2 of 2 — 100%
Celtic,UEFA Europa League,J4,40%,69% — 221 of 322,50% — 2 of 4,75% — 9 of 12
Malmö,UEFA Europa League,J4,57%,523 of 627 — 83%,2 of 12 — 17%,2 of 3 — 66%
Panathinaikos,UEFA Europa League,J4,43%,80% — 383 of 476,30% — 3 of 10,100% — 2 of 2
Dinamo Zagreb,UEFA Europa League,J4,59%,612 of 710 — 86%,5 of 10 — 50%,1 of 3 — 33%
Celta Vigo,UEFA Europa League,J4,41%,86% — 419 of 485,38% — 3 of 8,100% — 5 of 5
Basel,UEFA Europa League,J4,67%,523 of 630 — 83%,8 of 24 — 33%,6 of 7 — 85%
FCSB,UEFA Europa League,J4,33%,72% — 224 of 312,50% — 7 of 14,75% — 6 of 8
Genoa,Italian Serie A,J1,57%,349 of 468 — 75%,2 of 5 — 40%,0 of 0 — %
Lecce,Italian Serie A,J1,43%,67% — 232 of 346,0% — 0 of 7,100% — 2 of 2
Lazio,Italian Serie A,J2,70%,666 of 741 — 90%,6 of 22 — 27%,4 of 4 — 100%
Hellas Verona,Italian Serie A,J2,30%,78% — 254 of 324,33% — 4 of 12,33% — 2 of 6
Sturm Graz,UEFA Europa League,J4,42%,326 of 426 — 77%,2 of 3 — 67%,0 of 0 — %
Nott'ham Forest,UEFA Europa League,J4,58%,81% — 484 of 595,0% — 0 of 8,100% — 2 of 2
Nice,UEFA Europa League,J4,60%,436 of 523 — 83%,4 of 17 — 24%,4 of 6 — 66%
Freiburg,UEFA Europa League,J4,40%,76% — 269 of 353,40% — 6 of 15,75% — 3 of 4
RB Salzburg,UEFA Europa League,J4,43%,368 of 456 — 81%,8 of 17 — 47%,2 of 2 — 100%
Go Ahead Eag,UEFA Europa League,J4,57%,84% — 505 of 600,20% — 2 of 10,75% — 6 of 8
Utrecht,UEFA Europa League,J4,26%,159 of 238 — 67%,3 of 11 — 27%,7 of 8 — 87%
Porto,UEFA Europa League,J4,74%,85% — 575 of 677,42% — 8 of 19,66% — 2 of 3
Red Star,UEFA Europa League,J4,40%,283 of 388 — 73%,2 of 10 — 20%,3 of 3 — 100%
Lille,UEFA Europa League,J4,60%,84% — 491 of 583,27% — 3 of 11,100% — 2 of 2
Braga,UEFA Europa League,J4,63%,586 of 673 — 87%,6 of 20 — 30%,4 of 8 — 50%
Genk,UEFA Europa League,J4,37%,81% — 319 of 395,89% — 8 of 9,50% — 3 of 6
Aston Villa,UEFA Europa League,J4,66%,544 of 606 — 90%,7 of 13 — 54%,3 of 3 — 100%
Maccabi Tel Aviv,UEFA Europa League,J4,34%,80% — 250 of 312,50% — 3 of 6,85% — 6 of 7
Rangers,UEFA Europa League,J4,40%,343 of 418 — 82%,2 of 11 — 18%,1 of 3 — 33%
Roma,UEFA Europa League,J4,60%,87% — 552 of 634,21% — 3 of 14,100% — 2 of 2
Ferencváros,UEFA Europa League,J4,50%,384 of 473 — 81%,7 of 19 — 37%,1 of 2 — 50%
Ludogorets,UEFA Europa League,J4,50%,83% — 400 of 482,14% — 2 of 14,57% — 4 of 7
Bologna,UEFA Europa League,J4,55%,417 of 516 — 81%,3 of 16 — 19%,0 of 0 — %
Brann,UEFA Europa League,J4,45%,80% — 334 of 417,0% — 0 of 9,100% — 3 of 3
Viktoria Plzeň,UEFA Europa League,J4,40%,228 of 322 — 71%,6 of 18 — 33%,4 of 4 — 100%
Fenerbahçe,UEFA Europa League,J4,60%,80% — 388 of 482,40% — 4 of 10,100% — 6 of 6
Stuttgart,UEFA Europa League,J4,52%,350 of 428 — 82%,6 of 13 — 46%,4 of 4 — 100%
Feyenoord,UEFA Europa League,J4,48%,79% — 310 of 391,33% — 4 of 12,66% — 4 of 6
Betis,UEFA Europa League,J4,33%,265 of 342 — 77%,6 of 9 — 67%,3 of 3 — 100%
Lyon,UEFA Europa League,J4,67%,87% — 592 of 681,30% — 3 of 10,66% — 4 of 6
PAOK,UEFA Europa League,J4,65%,522 of 605 — 86%,10 of 23 — 43%,1 of 1 — 100%
Young Boys,UEFA Europa League,J4,35%,74% — 245 of 331,14% — 1 of 7,60% — 6 of 10
Aston Villa,UEFA Europa League,J5,60%,530 of 603 — 88%,8 of 19 — 42%,0 of 1 — 0%
Young Boys,UEFA Europa League,J5,40%,83% — 326 of 395,17% — 1 of 6,75% — 6 of 8
Porto,UEFA Europa League,J5,56%,459 of 536 — 86%,2 of 5 — 40%,0 of 0 — %
Nice,UEFA Europa League,J5,44%,81% — 343 of 425,0% — 0 of 8,0% — 0 of 2
Roma,UEFA Europa League,J5,54%,389 of 487 — 80%,6 of 13 — 46%,1 of 2 — 50%
Midtjylland,UEFA Europa League,J5,46%,74% — 313 of 422,17% — 2 of 12,66% — 4 of 6
Feyenoord,UEFA Europa League,J5,49%,430 of 503 — 85%,4 of 14 — 29%,1 of 4 — 25%
Celtic,UEFA Europa League,J5,51%,84% — 439 of 522,67% — 4 of 6,75% — 3 of 4
Lille,UEFA Europa League,J5,64%,654 of 736 — 89%,9 of 17 — 53%,0 of 0 — %
Dinamo Zagreb,UEFA Europa League,J5,36%,78% — 320 of 412,0% — 0 of 3,55% — 5 of 9
Viktoria Plzeň,UEFA Europa League,J5,49%,281 of 385 — 73%,7 of 19 — 37%,6 of 6 — 100%
Freiburg,UEFA Europa League,J5,51%,70% — 279 of 398,60% — 6 of 10,100% — 7 of 7
Ludogorets,UEFA Europa League,J5,43%,383 of 462 — 83%,2 of 5 — 40%,5 of 7 — 71%
Celta Vigo,UEFA Europa League,J5,57%,86% — 525 of 608,37% — 7 of 19,50% — 1 of 2
PAOK,UEFA Europa League,J5,45%,291 of 397 — 73%,7 of 16 — 44%,2 of 3 — 66%
Brann,UEFA Europa League,J5,55%,77% — 372 of 484,38% — 3 of 8,85% — 6 of 7
Rangers,UEFA Europa League,J5,48%,306 of 404 — 76%,5 of 11 — 45%,4 of 5 — 80%
Braga,UEFA Europa League,J5,52%,78% — 341 of 439,56% — 5 of 9,100% — 5 of 5
Nott'ham Forest,UEFA Europa League,J5,65%,637 of 727 — 88%,10 of 22 — 45%,1 of 1 — 100%
Malmö,UEFA Europa League,J5,35%,82% — 314 of 384,100% — 1 of 1,70% — 7 of 10
Fenerbahçe,UEFA Europa League,J5,66%,542 of 624 — 87%,6 of 18 — 33%,0 of 1 — 0%
Ferencváros,UEFA Europa League,J5,34%,73% — 237 of 323,20% — 1 of 5,83% — 5 of 6
Maccabi Tel Aviv,UEFA Europa League,J5,33%,264 of 335 — 79%,0 of 5 — 0%,2 of 7 — 28%
Lyon,UEFA Europa League,J5,67%,88% — 597 of 681,41% — 7 of 17,% — 0 of 0
Red Star,UEFA Europa League,J5,40%,279 of 392 — 71%,5 of 14 — 36%,2 of 2 — 100%
FCSB,UEFA Europa League,J5,60%,79% — 467 of 592,15% — 2 of 13,80% — 4 of 5
Genk,UEFA Europa League,J5,47%,452 of 536 — 84%,7 of 13 — 54%,3 of 4 — 75%
Basel,UEFA Europa League,J5,53%,84% — 507 of 607,31% — 4 of 13,71% — 5 of 7
Bologna,UEFA Europa League,J5,52%,385 of 491 — 78%,13 of 30 — 43%,3 of 4 — 75%
RB Salzburg,UEFA Europa League,J5,48%,80% — 369 of 461,44% — 4 of 9,69% — 9 of 13
Go Ahead Eag,UEFA Europa League,J5,39%,290 of 386 — 75%,2 of 6 — 33%,5 of 9 — 55%
Stuttgart,UEFA Europa League,J5,61%,85% — 505 of 592,45% — 9 of 20,100% — 2 of 2
Betis,UEFA Europa League,J5,64%,548 of 635 — 86%,6 of 18 — 33%,2 of 3 — 66%
Utrecht,UEFA Europa League,J5,36%,73% — 262 of 359,50% — 3 of 6,66% — 4 of 6
Panathinaikos,UEFA Europa League,J5,55%,452 of 553 — 82%,4 of 8 — 50%,1 of 2 — 50%
Sturm Graz,UEFA Europa League,J5,45%,82% — 375 of 460,29% — 2 of 7,50% — 2 of 4
Stuttgart,UEFA Europa League,J6,66%,577 of 657 — 88%,6 of 14 — 43%,1 of 2 — 50%
Maccabi Tel Aviv,UEFA Europa League,J6,34%,78% — 262 of 334,29% — 2 of 7,50% — 3 of 6
Ferencváros,UEFA Europa League,J6,56%,439 of 540 — 81%,3 of 16 — 19%,1 of 2 — 50%
Rangers,UEFA Europa League,J6,44%,79% — 342 of 432,29% — 2 of 7,33% — 1 of 3
Dinamo Zagreb,UEFA Europa League,J6,42%,394 of 476 — 83%,2 of 8 — 25%,3 of 5 — 60%
Betis,UEFA Europa League,J6,58%,90% — 595 of 661,33% — 5 of 15,50% — 1 of 2
Utrecht,UEFA Europa League,J6,44%,321 of 400 — 80%,3 of 10 — 30%,8 of 10 — 80%
Nott'ham Forest,UEFA Europa League,J6,56%,85% — 438 of 517,53% — 10 of 19,66% — 2 of 3
Nice,UEFA Europa League,J6,38%,284 of 379 — 75%,4 of 11 — 36%,3 of 4 — 75%
Braga,UEFA Europa League,J6,62%,85% — 520 of 609,44% — 4 of 9,75% — 3 of 4
Midtjylland,UEFA Europa League,J6,49%,296 of 397 — 75%,7 of 14 — 50%,4 of 4 — 100%
Genk,UEFA Europa League,J6,51%,74% — 307 of 414,36% — 4 of 11,85% — 6 of 7
Young Boys,UEFA Europa League,J6,46%,384 of 466 — 82%,4 of 10 — 40%,1 of 1 — 100%
Lille,UEFA Europa League,J6,54%,87% — 482 of 555,10% — 1 of 10,75% — 3 of 4
Sturm Graz,UEFA Europa League,J6,59%,363 of 483 — 75%,1 of 16 — 6%,1 of 2 — 50%
Red Star,UEFA Europa League,J6,41%,71% — 240 of 338,13% — 2 of 15,100% — 1 of 1
Ludogorets,UEFA Europa League,J6,44%,363 of 447 — 81%,3 of 15 — 20%,5 of 8 — 62%
PAOK,UEFA Europa League,J6,56%,84% — 486 of 578,50% — 8 of 16,0% — 0 of 3
Celtic,UEFA Europa League,J6,57%,532 of 640 — 83%,2 of 8 — 25%,3 of 5 — 60%
Roma,UEFA Europa League,J6,43%,79% — 385 of 489,42% — 5 of 12,100% — 2 of 2
Porto,UEFA Europa League,J6,59%,488 of 573 — 85%,11 of 22 — 50%,2 of 2 — 100%
Malmö,UEFA Europa League,J6,41%,78% — 308 of 396,29% — 2 of 7,81% — 9 of 11
Brann,UEFA Europa League,J6,31%,225 of 294 — 77%,2 of 6 — 33%,6 of 10 — 60%
Fenerbahçe,UEFA Europa League,J6,69%,85% — 556 of 651,50% — 10 of 20,100% — 2 of 2
Lyon,UEFA Europa League,J6,61%,610 of 701 — 87%,5 of 17 — 29%,2 of 3 — 66%
Go Ahead Eag,UEFA Europa League,J6,39%,80% — 355 of 444,43% — 3 of 7,60% — 3 of 5
Celta Vigo,UEFA Europa League,J6,50%,400 of 489 — 82%,1 of 3 — 33%,2 of 3 — 66%
Bologna,UEFA Europa League,J6,50%,82% — 406 of 494,21% — 3 of 14,0% — 0 of 1
Basel,UEFA Europa League,J6,43%,361 of 436 — 83%,4 of 11 — 36%,2 of 4 — 50%
Aston Villa,UEFA Europa League,J6,57%,86% — 493 of 570,57% — 4 of 7,75% — 3 of 4
Freiburg,UEFA Europa League,J6,59%,484 of 576 — 84%,5 of 28 — 18%,3 of 3 — 100%
RB Salzburg,UEFA Europa League,J6,41%,76% — 311 of 407,50% — 3 of 6,80% — 4 of 5
FCSB,UEFA Europa League,J6,44%,322 of 415 — 78%,4 of 7 — 57%,2 of 5 — 40%
Feyenoord,UEFA Europa League,J6,56%,83% — 438 of 527,36% — 5 of 14,0% — 0 of 4
Panathinaikos,UEFA Europa League,J6,70%,511 of 625 — 82%,4 of 20 — 20%,2 of 2 — 100%
Viktoria Plzeň,UEFA Europa League,J6,30%,67% — 179 of 268,40% — 2 of 5,100% — 4 of 4
Cagliari,Italian Serie A,J3,51%,344 of 439 — 78%,5 of 12 — 42%,5 of 5 — 100%
Parma,Italian Serie A,J3,49%,78% — 325 of 418,29% — 5 of 17,60% — 3 of 5
Zrinjski Mostar,UEFA Europa Conference League,J1,51%,348 of 451 — 77%,10 of 24 — 42%,0 of 0 — %
Red Imps,UEFA Europa Conference League,J1,49%,77% — 340 of 441,0% — 0 of 8,50% — 5 of 10
Lech Poznań,UEFA Europa Conference League,J1,51%,382 of 480 — 80%,8 of 17 — 47%,1 of 2 — 50%
Rapid Wien,UEFA Europa Conference League,J1,49%,78% — 357 of 456,22% — 2 of 9,50% — 4 of 8
Jagiellonia,UEFA Europa Conference League,J1,63%,452 of 533 — 85%,7 of 19 — 37%,3 of 3 — 100%
Ħamrun Spartans FC,UEFA Europa Conference League,J1,37%,72% — 219 of 306,38% — 3 of 8,85% — 6 of 7
Rayo Vallecano,UEFA Europa Conference League,J1,68%,618 of 716 — 86%,10 of 20 — 50%,1 of 1 — 100%
Shkëndija 79,UEFA Europa Conference League,J1,32%,78% — 260 of 334,100% — 1 of 1,80% — 8 of 10
Lausanne-Sport,UEFA Europa Conference League,J1,55%,539 of 624 — 86%,8 of 16 — 50%,2 of 2 — 100%
Breiðablik,UEFA Europa Conference League,J1,45%,79% — 400 of 504,15% — 2 of 13,62% — 5 of 8
Dynamo Kyiv,UEFA Europa Conference League,J1,47%,353 of 449 — 79%,1 of 9 — 11%,5 of 7 — 71%
Crystal Palace,UEFA Europa Conference League,J1,53%,79% — 402 of 510,50% — 7 of 14,100% — 1 of 1
AC Omonia,UEFA Europa Conference League,J1,45%,331 of 431 — 77%,3 of 8 — 38%,1 of 1 — 100%
Mainz 05,UEFA Europa Conference League,J1,55%,80% — 425 of 529,6% — 1 of 16,100% — 3 of 3
KuPS,UEFA Europa Conference League,J1,65%,631 of 735 — 86%,3 of 6 — 50%,3 of 4 — 75%
KF Drita,UEFA Europa Conference League,J1,35%,75% — 304 of 403,33% — 4 of 12,66% — 2 of 3
Shelbourne FC,UEFA Europa Conference League,J1,35%,327 of 417 — 78%,1 of 7 — 14%,3 of 3 — 100%
Häcken,UEFA Europa Conference League,J1,65%,87% — 674 of 777,30% — 3 of 10,100% — 1 of 1
Aberdeen,UEFA Europa Conference League,J1,30%,177 of 267 — 66%,4 of 10 — 40%,1 of 4 — 25%
Shakhtar,UEFA Europa Conference League,J1,70%,87% — 552 of 638,36% — 4 of 11,75% — 3 of 4
FC Noah,UEFA Europa Conference League,J1,58%,499 of 553 — 90%,3 of 15 — 20%,1 of 1 — 100%
Rijeka,UEFA Europa Conference League,J1,42%,81% — 325 of 399,50% — 1 of 2,66% — 2 of 3
Fiorentina,UEFA Europa Conference League,J1,54%,342 of 448 — 76%,4 of 14 — 29%,4 of 4 — 100%
Sigma Olomouc,UEFA Europa Conference League,J1,46%,69% — 260 of 375,57% — 4 of 7,50% — 2 of 4
Legia Warsaw,UEFA Europa Conference League,J1,64%,490 of 611 — 80%,2 of 19 — 11%,0 of 1 — 0%
Samsunspor,UEFA Europa Conference League,J1,36%,71% — 245 of 343,17% — 1 of 6,100% — 2 of 2
Sparta Prague,UEFA Europa Conference League,J1,74%,671 of 755 — 89%,8 of 19 — 42%,0 of 1 — 0%
Shamrock Rov,UEFA Europa Conference League,J1,26%,71% — 183 of 259,50% — 1 of 2,50% — 4 of 8
Raków,UEFA Europa Conference League,J1,57%,415 of 497 — 84%,10 of 22 — 45%,0 of 0 — %
CS U Craiova,UEFA Europa Conference League,J1,43%,80% — 303 of 380,0% — 0 of 4,80% — 8 of 10
Slovan Bratislava,UEFA Europa Conference League,J1,57%,561 of 645 — 87%,5 of 22 — 23%,3 of 4 — 75%
Strasbourg,UEFA Europa Conference League,J1,43%,87% — 427 of 490,80% — 4 of 5,80% — 4 of 5
NK Celje,UEFA Europa Conference League,J1,60%,438 of 513 — 85%,9 of 21 — 43%,4 of 5 — 80%
AEK Athens,UEFA Europa Conference League,J1,40%,80% — 277 of 348,56% — 5 of 9,66% — 6 of 9
AÉK Lárnaka,UEFA Europa Conference League,J1,69%,555 of 626 — 89%,10 of 22 — 45%,2 of 2 — 100%
AZ Alkmaar,UEFA Europa Conference League,J1,31%,73% — 205 of 282,33% — 2 of 6,60% — 6 of 10
Breiðablik,UEFA Europa Conference League,J2,44%,356 of 469 — 76%,3 of 15 — 20%,2 of 2 — 100%
KuPS,UEFA Europa Conference League,J2,56%,84% — 508 of 607,25% — 2 of 8,100% — 3 of 3
Häcken,UEFA Europa Conference League,J2,40%,254 of 366 — 69%,4 of 10 — 40%,2 of 3 — 66%
Rayo Vallecano,UEFA Europa Conference League,J2,60%,83% — 448 of 538,30% — 3 of 10,50% — 2 of 4
Strasbourg,UEFA Europa Conference League,J2,67%,685 of 781 — 88%,6 of 25 — 24%,1 of 2 — 50%
Jagiellonia,UEFA Europa Conference League,J2,33%,80% — 304 of 381,67% — 2 of 3,83% — 5 of 6
KF Drita,UEFA Europa Conference League,J2,40%,253 of 340 — 74%,2 of 4 — 50%,4 of 5 — 80%
AC Omonia,UEFA Europa Conference League,J2,60%,83% — 419 of 507,36% — 5 of 14,50% — 1 of 2
Shkëndija 79,UEFA Europa Conference League,J2,58%,444 of 534 — 83%,1 of 13 — 8%,1 of 1 — 100%
Shelbourne FC,UEFA Europa Conference League,J2,42%,79% — 311 of 392,11% — 1 of 9,100% — 1 of 1
Shkëndija 79,UEFA Europa Conference League,J2,58%,444 of 532 — 83%,1 of 13 — 8%,2 of 2 — 100%
Shelbourne FC,UEFA Europa Conference League,J2,42%,80% — 313 of 393,22% — 2 of 9,100% — 1 of 1
Rapid Wien,UEFA Europa Conference League,J2,43%,336 of 430 — 78%,3 of 13 — 23%,2 of 5 — 40%
Fiorentina,UEFA Europa Conference League,J2,57%,85% — 487 of 575,29% — 5 of 17,100% — 3 of 3
AZ Alkmaar,UEFA Europa Conference League,J2,62%,498 of 590 — 84%,9 of 29 — 31%,1 of 1 — 100%
Slovan Bratislava,UEFA Europa Conference League,J2,38%,80% — 288 of 360,33% — 1 of 3,88% — 8 of 9
Shakhtar,UEFA Europa Conference League,J2,69%,590 of 664 — 89%,3 of 11 — 27%,1 of 3 — 33%
Legia Warsaw,UEFA Europa Conference League,J2,31%,70% — 209 of 298,27% — 3 of 11,66% — 2 of 3
AEK Athens,UEFA Europa Conference League,J2,73%,637 of 723 — 88%,9 of 27 — 33%,2 of 2 — 100%
Aberdeen,UEFA Europa Conference League,J2,27%,75% — 205 of 274,25% — 2 of 8,33% — 3 of 9
Shamrock Rovers,UEFA Europa Conference League,J2,43%,351 of 428 — 82%,3 of 11 — 27%,2 of 4 — 50%
NK Celje,UEFA Europa Conference League,J2,57%,87% — 487 of 562,29% — 4 of 14,100% — 3 of 3
Crystal Palace,UEFA Europa Conference League,J2,67%,541 of 650 — 83%,1 of 15 — 7%,1 of 2 — 50%
AÉK Lárnaka,UEFA Europa Conference League,J2,33%,67% — 211 of 315,50% — 2 of 4,100% — 1 of 1
Sigma Olomouc,UEFA Europa Conference League,J2,47%,306 of 419 — 73%,1 of 8 — 13%,5 of 6 — 83%
Raków,UEFA Europa Conference League,J2,53%,79% — 377 of 476,43% — 6 of 14,0% — 0 of 1
Red Imps,UEFA Europa Conference League,J2,38%,201 of 294 — 68%,3 of 12 — 25%,4 of 4 — 100%
Lech Poznań,UEFA Europa Conference League,J2,62%,78% — 372 of 479,22% — 4 of 18,33% — 1 of 3
Ħamrun Spartans FC,UEFA Europa Conference League,J2,53%,310 of 419 — 74%,1 of 15 — 7%,4 of 5 — 80%
Lausanne-Sport,UEFA Europa Conference League,J2,47%,77% — 290 of 377,50% — 5 of 10,100% — 1 of 1
Mainz 05,UEFA Europa Conference League,J2,60%,414 of 540 — 77%,2 of 15 — 13%,0 of 0 — %
Zrinjski Mostar,UEFA Europa Conference League,J2,40%,69% — 246 of 355,0% — 0 of 2,50% — 1 of 2
CS U Craiova,UEFA Europa Conference League,J2,48%,329 of 435 — 76%,2 of 6 — 33%,3 of 4 — 75%
FC Noah,UEFA Europa Conference League,J2,52%,79% — 369 of 469,25% — 4 of 16,50% — 1 of 2
Samsunspor,UEFA Europa Conference League,J2,49%,368 of 467 — 79%,5 of 14 — 36%,0 of 0 — %
Dynamo Kyiv,UEFA Europa Conference League,J2,51%,82% — 405 of 493,0% — 0 of 5,40% — 2 of 5
Mainz 05,UEFA Europa Conference League,J3,44%,294 of 419 — 70%,4 of 13 — 31%,3 of 4 — 75%
Fiorentina,UEFA Europa Conference League,J3,56%,78% — 411 of 528,33% — 4 of 12,50% — 2 of 4
NK Celje,UEFA Europa Conference League,J3,58%,435 of 499 — 87%,5 of 11 — 45%,8 of 9 — 88%
Legia Warsaw,UEFA Europa Conference League,J3,42%,81% — 290 of 358,53% — 9 of 17,60% — 3 of 5
Sparta Prague,UEFA Europa Conference League,J3,62%,591 of 704 — 84%,5 of 10 — 50%,1 of 1 — 100%
Raków,UEFA Europa Conference League,J3,38%,76% — 330 of 436,17% — 1 of 6,100% — 5 of 5
Shakhtar,UEFA Europa Conference League,J3,73%,605 of 688 — 88%,4 of 16 — 25%,0 of 0 — %
Breiðablik,UEFA Europa Conference League,J3,27%,69% — 175 of 254,0% — 0 of 5,50% — 2 of 4
AEK Athens,UEFA Europa Conference League,J3,79%,584 of 689 — 85%,7 of 29 — 24%,0 of 0 — %
Shamrock Rovers,UEFA Europa Conference League,J3,21%,57% — 102 of 179,% — 0 of 0,100% — 7 of 7
KuPS,UEFA Europa Conference League,J3,55%,501 of 592 — 85%,7 of 18 — 39%,1 of 2 — 50%
Slovan Bratislava,UEFA Europa Conference League,J3,45%,82% — 407 of 494,29% — 2 of 7,57% — 4 of 7
AÉK Lárnaka,UEFA Europa Conference League,J3,67%,582 of 687 — 85%,2 of 11 — 18%,0 of 0 — %
Aberdeen,UEFA Europa Conference League,J3,33%,75% — 252 of 337,0% — 0 of 5,100% — 2 of 2
Crystal Palace,UEFA Europa Conference League,J3,36%,209 of 309 — 68%,6 of 20 — 30%,3 of 4 — 75%
AZ Alkmaar,UEFA Europa Conference League,J3,64%,81% — 445 of 547,44% — 4 of 9,50% — 3 of 6
Shelbourne FC,UEFA Europa Conference League,J3,38%,279 of 373 — 75%,2 of 11 — 18%,4 of 5 — 80%
KF Drita,UEFA Europa Conference League,J3,62%,87% — 516 of 596,25% — 5 of 20,100% — 2 of 2
Samsunspor,UEFA Europa Conference League,J3,52%,375 of 451 — 83%,7 of 15 — 47%,1 of 1 — 100%
Ħamrun Spartans FC,UEFA Europa Conference League,J3,48%,82% — 338 of 413,25% — 1 of 4,57% — 4 of 7
Rayo Vallecano,UEFA Europa Conference League,J3,65%,542 of 653 — 83%,6 of 29 — 21%,1 of 3 — 33%
Lech Poznań,UEFA Europa Conference League,J3,35%,74% — 259 of 348,33% — 3 of 9,50% — 3 of 6
Red Imps,UEFA Europa Conference League,J3,41%,256 of 359 — 71%,3 of 11 — 27%,4 of 5 — 80%
Rijeka,UEFA Europa Conference League,J3,59%,79% — 404 of 510,50% — 5 of 10,66% — 2 of 3
Rapid Wien,UEFA Europa Conference League,J3,53%,311 of 445 — 70%,1 of 10 — 10%,7 of 8 — 87%
CS U Craiova,UEFA Europa Conference League,J3,47%,69% — 276 of 402,47% — 8 of 17,100% — 1 of 1
Häcken,UEFA Europa Conference League,J3,41%,405 of 492 — 82%,5 of 17 — 29%,4 of 6 — 66%
Strasbourg,UEFA Europa Conference League,J3,59%,89% — 619 of 697,67% — 6 of 9,80% — 4 of 5
Lausanne-Sport,UEFA Europa Conference League,J3,62%,543 of 650 — 84%,5 of 20 — 25%,2 of 3 — 66%
AC Omonia,UEFA Europa Conference League,J3,38%,76% — 282 of 372,43% — 3 of 7,80% — 4 of 5
Shkëndija 79,UEFA Europa Conference League,J3,31%,180 of 277 — 65%,3 of 7 — 43%,2 of 3 — 66%
Jagiellonia,UEFA Europa Conference League,J3,69%,82% — 506 of 620,38% — 3 of 8,66% — 2 of 3
FC Noah,UEFA Europa Conference League,J3,65%,478 of 583 — 82%,2 of 5 — 40%,1 of 3 — 33%
Sigma Olomouc,UEFA Europa Conference League,J3,35%,69% — 219 of 316,18% — 3 of 17,50% — 1 of 2
Dynamo Kyiv,UEFA Europa Conference League,J3,65%,538 of 631 — 85%,7 of 10 — 70%,3 of 3 — 100%
Zrinjski Mostar,UEFA Europa Conference League,J3,35%,74% — 248 of 334,30% — 3 of 10,14% — 1 of 7
Slovan Bratislava,UEFA Europa Conference League,J4,49%,319 of 418 — 76%,3 of 9 — 33%,5 of 6 — 83%
Rayo Vallecano,UEFA Europa Conference League,J4,51%,78% — 335 of 430,26% — 6 of 23,33% — 1 of 3
Zrinjski Mostar,UEFA Europa Conference League,J4,38%,255 of 353 — 72%,6 of 12 — 50%,2 of 3 — 66%
Häcken,UEFA Europa Conference League,J4,62%,82% — 467 of 570,21% — 3 of 14,66% — 4 of 6
Sigma Olomouc,UEFA Europa Conference League,J4,32%,168 of 256 — 66%,7 of 21 — 33%,3 of 4 — 75%
NK Celje,UEFA Europa Conference League,J4,68%,82% — 452 of 553,36% — 4 of 11,71% — 5 of 7
Ħamrun Spartans FC,UEFA Europa Conference League,J4,60%,343 of 460 — 75%,11 of 22 — 50%,3 of 4 — 75%
Red Imps,UEFA Europa Conference League,J4,40%,67% — 205 of 304,40% — 4 of 10,72% — 8 of 11
Lech Poznań,UEFA Europa Conference League,J4,54%,430 of 547 — 79%,3 of 6 — 50%,5 of 5 — 100%
