Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Shakhtar,24.2,44.9,8,8,8.3,74,20,1,2,124,12,2979,3642,1347,1479,1237,1398,310,555,53,181,46,14,195,103,193,130,78,78,35,17,60,147,87,97,83,192,8,4535,683,2003,1734,833,137,4533,160,83,2518,68,33,96,59,2936,13,1,0,85,72,10,2,2,1,330,76,104,16,52,36,2,2,1,1,0,17.2,46,131,291,34,74,141,16,4
Slovan Bratislava,28.5,37.5,8,7,7.0,61,18,1,1,107,12,2372,3072,1128,1295,904,1069,217,450,45,168,28,1,197,95,195,132,84,81,40,11,64,141,77,113,98,273,7,4055,711,1851,1616,634,100,4054,157,66,2124,52,28,103,60,2359,17,1,1,72,102,12,1,2,0,330,68,72,27,64,36,0,2,1,1,0,23.6,34,101,155,39,82,163,11,0
Sparta Prague,26.2,33.9,8,6,6.3,75,21,0,0,124,9,2033,2758,854,1017,876,1046,244,530,50,139,29,10,184,81,182,119,71,67,35,17,56,129,73,105,75,219,10,3605,553,1457,1520,657,117,3605,106,46,1963,55,21,82,57,2014,13,0,0,81,55,8,0,1,1,316,94,99,21,61,41,1,1,1,0,0,17.0,42,148,235,38,60,120,7,7
Sporting CP,23.8,49.1,10,13,12.8,122,41,2,2,222,23,4260,5015,1904,2103,1957,2167,334,552,96,281,55,9,340,183,337,173,103,86,71,16,90,170,80,97,84,187,10,6063,722,2237,2664,1210,180,6061,207,83,3807,125,62,119,100,4227,17,0,0,104,147,13,2,3,1,409,73,81,15,51,36,3,3,1,1,1,17.5,22,73,251,41,83,116,7,6
Sturm Graz,23.5,37.5,8,4,6.2,67,24,0,0,116,6,2220,2944,1055,1218,871,1070,205,490,49,156,42,6,186,74,186,156,105,90,50,16,77,155,78,98,77,232,6,3928,598,1659,1628,697,98,3928,111,47,2198,61,17,113,76,2189,17,1,1,105,86,18,0,0,0,342,78,114,14,45,31,2,0,0,0,0,15.3,37,132,193,28,80,137,12,5
Stuttgart,25.2,58.9,8,12,14.1,138,43,0,1,245,23,3970,4773,2108,2296,1536,1754,238,466,109,324,106,27,396,141,391,144,78,60,63,21,77,154,77,90,69,129,8,5631,529,1577,2503,1595,245,5630,130,66,3611,119,49,89,67,3908,13,0,0,91,96,17,1,0,0,379,82,77,17,32,15,1,0,0,0,0,11.2,31,84,278,30,36,68,5,5
Young Boys,24.8,41.8,8,3,5.6,81,18,0,0,139,3,2423,3102,980,1117,1066,1235,309,571,53,175,43,16,221,111,219,124,86,73,35,16,49,139,90,108,81,198,9,4016,586,1561,1694,805,120,4016,138,72,2070,69,32,109,64,2395,24,0,0,116,74,15,0,2,2,333,85,88,24,53,29,0,2,0,2,0,17.2,35,120,267,28,59,135,1,6
Atalanta,27.1,55.3,38,76,65.0,538,181,5,7,966,131,17454,20998,7796,8669,7832,8892,1506,2528,425,1382,395,113,1824,897,1808,571,347,238,260,73,272,506,234,360,296,679,16,25020,2035,6907,11325,7007,1076,25013,645,257,15076,696,254,574,362,17329,67,1,1,435,393,54,5,2,2,1732,585,490,37,147,112,15,2,2,0,0,41.1,133,413,980,193,233,363,21,56
Bologna,26.4,58.1,38,56,49.3,505,166,6,7,913,103,15681,19336,6113,6881,7530,8561,1765,3072,384,1351,293,109,1468,639,1457,591,346,215,270,106,283,538,255,390,258,679,20,23304,2070,6703,10984,5817,831,23297,555,221,13684,422,167,598,361,15512,61,4,1,537,604,63,6,3,2,1516,579,616,47,106,60,12,3,2,1,0,40.3,171,467,1386,158,187,312,29,32
Cagliari,26.6,44.9,38,38,42.7,421,115,3,3,748,71,12092,15802,5258,6076,5403,6411,1218,2515,301,907,234,89,1150,506,1140,538,303,264,224,50,238,449,211,343,276,887,18,19802,2531,7637,8203,4166,645,19799,552,228,10679,339,115,585,294,11974,68,3,3,500,397,65,2,6,0,1522,606,600,56,153,97,7,6,6,0,0,54.8,232,597,999,165,336,540,28,36
Como,26.3,54.6,38,44,45.4,519,176,0,2,920,79,15917,19183,7607,8351,6561,7392,1286,2359,405,1150,279,60,1377,658,1371,663,412,301,260,102,303,591,288,348,279,788,19,23246,2359,7668,10461,5315,791,23244,622,264,14108,463,202,577,360,15729,87,7,3,503,518,65,1,7,0,1547,472,487,52,143,91,7,7,7,0,0,44.6,150,405,1164,163,205,433,29,65
Empoli,25.4,41.7,38,31,32.5,367,107,2,3,638,51,10093,13916,4015,4844,4558,5549,1180,2624,269,799,214,71,1013,428,1004,689,396,314,293,82,309,543,234,396,323,1072,21,18255,2279,6509,8088,3861,562,18252,505,212,8486,284,102,594,349,9986,68,5,2,570,459,57,3,3,1,1480,577,710,59,158,99,6,3,1,1,1,50.1,199,654,944,125,328,556,37,20
Fiorentina,26.3,51.0,37,55,48.9,429,160,6,8,799,100,14193,17510,5771,6478,6566,7504,1565,2733,336,984,244,74,1240,620,1226,531,311,267,195,69,248,488,240,353,269,911,17,21431,2419,7306,9857,4479,671,21423,600,270,12538,479,164,535,306,14051,81,3,2,429,541,85,6,3,1,1436,508,487,41,146,104,11,3,1,2,0,40.7,226,515,923,143,293,498,14,31
Genoa,26.2,45.6,38,35,37.2,383,117,0,2,657,61,12025,15727,4811,5621,5664,6683,1243,2515,285,737,201,78,980,470,967,672,385,281,287,104,283,566,283,422,308,938,15,20080,2523,7477,8829,3958,644,20078,505,187,10006,343,112,593,289,11902,71,1,0,497,448,55,1,8,3,1481,666,696,49,158,110,11,8,6,2,0,49.8,190,506,960,142,314,527,24,17
Hellas Verona,25.1,38.7,38,31,33.8,372,95,2,2,640,48,9854,13457,4411,5150,4092,4944,1079,2569,276,824,189,61,1011,449,998,672,434,326,271,75,311,592,281,393,329,987,23,17659,2055,5973,8025,3869,532,17657,508,228,8757,338,100,533,254,9765,98,9,5,579,352,55,1,4,1,1427,671,699,66,172,106,8,4,2,1,1,53.8,217,761,793,93,313,544,32,26
Inter,29.4,59.4,37,76,66.9,554,177,8,9,1028,133,19412,22592,8329,9108,8987,9926,1751,2661,434,1353,410,119,1730,694,1717,505,278,215,198,92,239,452,213,356,223,676,11,26215,2510,7834,12203,6361,1048,26206,407,158,16253,566,155,423,242,19251,56,1,1,407,394,88,6,4,1,1440,604,419,32,124,92,16,4,3,1,0,35.8,114,277,1364,151,202,437,17,17
Juventus,24.6,57.2,38,56,51.0,509,175,6,6,908,94,18259,21231,8378,9109,8078,8869,1473,2432,393,1390,305,67,1561,810,1548,606,353,273,245,88,263,471,208,404,215,723,27,25202,2320,7729,11766,5913,856,25196,658,309,15347,558,216,568,293,18089,67,3,1,480,378,52,3,5,0,1516,458,461,35,119,84,17,5,5,0,0,31.8,139,377,939,156,237,519,32,33
Lazio,27.1,55.1,38,60,57.2,528,185,6,7,954,103,16400,19521,6959,7646,7447,8298,1670,2729,403,1374,323,102,1588,774,1580,520,319,234,224,62,251,501,250,313,295,718,23,23200,2262,6760,11033,5654,928,23193,628,296,13530,587,189,469,310,16281,93,7,3,425,484,46,4,4,2,1439,473,491,49,119,72,9,4,4,0,0,39.4,188,498,1196,132,252,496,49,54
Lecce,26.1,43.8,38,27,34.6,450,119,3,4,777,47,11490,15087,4757,5501,5029,5971,1465,2862,322,852,222,93,1071,519,1062,627,372,315,250,62,301,584,283,407,285,1042,26,19445,2594,7211,8380,4085,605,19441,547,237,9704,349,121,572,290,11350,61,7,1,466,427,52,2,10,3,1484,676,651,58,181,125,9,10,8,1,1,53.8,220,656,883,120,312,590,29,19
Milan,25.6,53.9,38,59,63.7,555,185,4,8,1011,107,16335,19101,6939,7660,7732,8519,1389,2238,442,1198,342,77,1589,915,1572,552,349,249,222,81,246,480,234,292,234,691,21,22849,2115,7299,10263,5518,966,22841,721,343,14001,648,269,513,288,16145,70,6,1,415,428,60,7,2,3,1397,434,391,43,142,101,13,2,1,1,0,39.0,123,319,1334,182,275,462,27,71
Monza,26.8,48.5,38,27,29.9,333,99,3,3,588,43,14248,17515,5982,6697,6561,7422,1412,2561,245,895,196,72,1096,533,1081,562,315,304,202,56,272,501,229,382,305,874,38,21338,2852,8271,9181,4056,480,21335,507,220,12954,413,89,510,334,14106,90,3,2,512,529,54,0,4,3,1299,567,605,69,183,115,3,4,2,2,0,59.8,217,557,1069,157,333,534,26,33
Napoli,28.6,54.6,38,56,52.9,499,150,4,5,882,100,16894,20033,7296,8074,7665,8530,1582,2497,391,1235,318,76,1546,739,1530,535,323,237,238,60,258,469,211,317,270,813,11,23892,2258,7471,11310,5295,869,23887,611,244,13244,443,207,473,326,16735,47,0,0,415,445,55,4,4,2,1435,530,460,27,96,69,19,4,1,2,1,29.1,102,251,1103,131,260,438,25,50
Parma,23.8,44.2,38,43,43.1,418,140,6,7,749,73,12509,15805,5238,5993,5643,6511,1289,2504,316,890,217,59,1059,578,1049,523,293,267,201,55,242,484,242,434,279,977,21,19903,2706,7204,8455,4468,655,19896,587,249,11305,416,168,548,297,12339,78,6,3,405,458,31,5,5,2,1365,499,502,58,158,102,7,5,5,0,0,54.2,207,697,1237,190,322,643,67,40
Roma,26.5,53.9,38,55,53.0,514,162,8,8,934,95,17016,20265,7364,8133,7726,8590,1535,2676,391,1302,314,81,1501,691,1488,551,328,233,236,82,224,439,215,329,282,746,16,24126,2375,7151,11355,5819,861,24118,563,210,14077,579,162,545,283,16857,66,1,1,405,484,59,6,4,1,1437,441,476,35,151,117,16,4,4,0,0,42.5,124,413,1195,170,263,495,30,33
Torino,26.7,47.5,38,36,34.6,383,123,2,4,663,58,13578,17008,5650,6464,6225,7103,1445,2696,276,980,250,86,1113,529,1103,468,261,217,181,70,232,437,205,338,278,882,21,20697,2400,6911,9482,4475,605,20693,452,169,12098,389,107,490,272,13424,80,3,1,483,386,57,2,7,2,1296,538,564,45,180,133,10,7,3,4,0,53.7,231,714,1342,196,313,597,37,51
Udinese,26.4,47.2,38,41,38.2,430,137,2,4,757,61,12945,16279,5322,6027,5751,6676,1552,2764,313,969,242,103,1160,566,1140,562,346,276,217,69,279,508,229,396,302,909,27,20351,2410,6993,9142,4451,694,20347,623,281,11222,424,127,558,295,12776,88,5,3,543,379,50,2,8,5,1426,550,493,56,164,113,9,8,7,0,1,52.3,167,447,1021,108,266,528,19,36
Venezia,25.4,45.1,38,31,35.8,381,120,4,5,685,49,11573,15155,5144,5977,5103,6078,1002,2218,282,813,215,58,1066,507,1057,605,361,319,202,84,286,572,286,439,279,921,25,19451,2614,7044,8341,4288,633,19445,601,248,10476,383,124,621,398,11442,75,2,2,503,451,58,4,11,3,1450,490,626,56,188,134,6,11,10,1,0,57.0,135,520,1014,158,342,589,31,21
Angers,27.5,41.2,34,31,36.0,311,91,5,6,546,55,11082,14057,4970,5624,4828,5656,1022,2043,216,777,200,63,953,502,943,624,392,340,202,82,294,607,313,365,336,903,20,17919,2146,6594,7732,3813,512,17913,613,249,9398,365,98,493,297,10991,49,2,0,380,398,69,6,5,0,1414,334,428,53,190,137,7,5,4,0,1,65.9,146,446,762,184,283,551,49,22
Auxerre,25.9,42.5,34,47,41.0,375,144,4,5,688,87,11002,14162,4812,5517,4576,5349,1301,2498,296,804,212,68,1084,484,1078,657,403,330,232,95,316,606,290,394,350,944,17,18188,2265,6744,7753,3877,614,18183,622,258,10101,350,137,452,346,10927,68,4,1,404,362,48,4,8,3,1492,412,422,51,173,123,10,8,6,2,0,59.3,221,680,944,178,244,556,31,42
Brest,28.2,48.4,34,52,45.4,409,151,7,9,730,85,12678,16021,5284,6055,5575,6467,1526,2732,302,929,189,64,1096,470,1084,656,426,291,255,110,308,583,275,363,316,869,14,19884,2240,6822,8962,4265,644,19875,490,209,10454,348,117,509,246,12586,69,3,1,430,413,42,5,10,2,1471,534,508,59,141,83,10,10,8,1,1,49.0,224,542,944,141,242,489,34,56
Le Havre,26.9,43.1,34,37,41.4,339,97,9,10,588,62,11125,14115,4445,5095,5289,6120,1156,2182,230,786,201,85,1051,538,1033,621,387,326,212,83,304,562,258,362,324,987,24,17975,2197,6737,7822,3637,581,17965,512,233,9506,347,93,448,311,11013,56,4,1,379,403,50,6,6,1,1399,451,436,71,175,104,4,6,5,1,0,72.9,135,334,817,147,238,546,33,15
Lens,27.1,54.1,34,40,51.8,484,148,5,5,859,65,14837,18173,7330,8209,5806,6685,1219,2163,365,1117,354,100,1451,570,1440,606,365,264,233,109,299,579,280,387,321,705,19,22167,1929,6346,10186,5833,848,22162,582,249,12325,479,122,576,341,14727,86,8,3,499,360,84,2,9,0,1576,450,414,39,142,102,13,9,8,1,0,48.1,142,340,852,162,201,381,41,34
Lille,26.1,57.6,34,52,54.7,424,154,7,10,769,84,16765,19728,7248,8031,7757,8568,1382,2203,318,1393,345,70,1616,669,1603,626,356,241,273,112,311,554,243,302,271,637,22,23278,1932,6099,11352,5991,854,23268,598,283,13642,512,158,513,300,16614,77,2,1,410,376,48,8,4,1,1535,392,350,36,126,91,11,4,4,0,0,42.2,112,288,874,144,206,373,21,24
Lyon,27.4,56.4,34,62,60.3,434,173,8,10,802,114,16061,19063,7944,8738,6605,7372,1102,1978,350,1215,371,58,1615,709,1600,576,340,257,230,89,310,595,285,346,282,695,25,22636,2155,6644,10377,5810,999,22626,546,238,13430,483,201,456,281,15904,60,0,0,407,357,71,6,3,0,1422,305,332,46,166,120,10,3,3,0,0,49.2,102,314,848,185,218,422,26,29
Marseille,26.7,63.3,34,70,63.8,481,185,8,10,878,129,20427,23240,10229,10983,8543,9350,1062,1793,381,1513,325,69,1714,664,1703,552,358,244,229,79,274,472,198,272,280,523,31,26602,1928,6930,13580,6271,850,26592,607,278,16260,499,197,471,313,20224,64,6,4,394,371,53,5,6,2,1485,312,249,47,135,87,5,6,3,3,0,47.5,92,202,1023,133,179,309,28,59
Monaco,24.4,55.0,34,63,72.8,493,180,6,7,868,106,14561,17916,6877,7784,6192,7109,1143,2134,390,1232,391,59,1638,670,1629,670,429,281,287,102,339,624,285,350,357,667,18,21883,1745,5633,10914,5558,969,21876,613,266,12485,534,187,601,341,14447,60,4,2,462,444,69,3,3,0,1763,426,421,41,128,87,11,3,3,0,0,38.3,77,269,737,146,216,379,30,38
Montpellier,26.1,45.3,34,23,33.5,371,111,3,4,614,39,11442,14420,4844,5530,4897,5675,1384,2425,255,875,169,75,1039,529,1030,631,389,302,264,65,310,608,298,368,273,733,25,18133,2072,6036,8263,4032,540,18129,609,262,9615,362,138,478,296,11348,87,7,2,427,438,65,3,9,3,1349,374,442,79,194,117,1,9,8,1,0,66.2,197,496,840,134,271,463,28,29
Nantes,26.7,40.4,34,39,39.1,345,119,5,5,616,64,10999,13956,4741,5379,4886,5607,1116,2236,257,878,216,85,1053,502,1044,645,376,338,224,83,321,565,244,402,283,1007,10,17874,2137,6120,8089,3839,644,17869,525,227,9492,344,141,485,286,10932,71,4,0,413,389,31,3,8,3,1289,426,439,52,148,99,6,8,7,0,1,50.8,151,463,809,139,240,588,33,15
Nice,26.4,47.5,34,62,61.6,486,183,6,6,861,105,13129,16103,6345,7100,5509,6336,1015,1909,353,951,321,65,1320,701,1312,633,399,297,242,94,297,534,237,417,365,784,32,20206,2171,6488,9270,4693,843,20200,687,295,10937,413,171,540,315,13013,59,5,2,391,417,56,5,3,1,1608,427,402,41,161,120,8,3,2,1,0,43.0,112,272,877,173,233,470,39,33
Paris S-G,23.6,68.0,34,89,88.9,628,272,6,7,1153,158,23156,25781,10887,11622,10098,10815,1623,2267,521,1849,450,71,2123,936,2114,619,386,242,266,111,325,607,282,360,265,493,19,29502,1991,6704,14734,8262,1211,29495,802,364,18244,702,347,488,329,23027,37,0,0,307,336,54,6,3,1,1654,262,214,35,103,69,7,3,3,0,0,30.4,74,188,818,140,156,298,16,34
Reims,24.5,44.1,34,32,37.4,393,111,1,2,689,57,11657,14602,5338,6018,4868,5628,1110,2150,276,861,224,80,1156,586,1140,558,359,313,174,71,285,551,266,392,289,958,20,18663,2437,6983,7699,4213,649,18661,629,279,9968,420,139,576,304,11542,66,6,2,392,372,59,1,5,0,1407,378,430,47,179,131,7,5,4,1,0,61.6,154,477,928,153,285,554,31,42
Rennes,25.1,50.9,34,51,48.6,423,155,5,8,757,83,13914,16913,6055,6811,6276,7138,1246,2132,318,1083,265,62,1440,663,1421,596,363,282,234,80,296,510,214,350,337,739,14,20688,1999,6281,9624,4970,763,20680,643,270,11438,429,186,508,344,13788,67,2,0,445,382,48,4,6,2,1458,443,393,50,138,87,11,6,3,3,0,46.2,119,361,970,132,219,402,23,37
Saint-Étienne,25.9,47.1,34,39,36.4,366,115,3,4,628,65,13001,15954,6224,6913,5489,6265,973,1997,269,1024,237,34,1262,529,1254,581,382,291,216,74,296,594,298,404,328,854,26,19848,2437,6917,8493,4607,600,19844,558,239,10318,334,138,550,309,12920,65,3,1,449,361,46,4,15,2,1428,342,386,77,209,132,5,15,13,2,0,73.5,131,486,919,145,264,510,24,33
Strasbourg,21.4,50.1,34,54,49.3,354,140,2,2,622,93,14667,17462,6434,7096,6989,7831,998,1882,273,896,216,50,1204,563,1191,537,335,256,213,68,257,459,202,376,282,899,17,21307,2567,8555,9120,3825,614,21305,629,282,12112,365,170,514,263,14530,71,3,1,393,417,48,2,9,2,1436,339,324,44,169,126,10,9,8,1,0,52.5,123,383,1434,148,240,539,43,50
Toulouse,25.2,45.0,34,42,49.1,399,145,3,4,699,78,11674,14867,5182,5953,5259,6118,964,2027,297,879,284,65,1219,543,1201,605,364,264,253,88,318,608,290,341,281,775,15,18606,1884,6030,8440,4363,789,18602,616,277,10414,369,155,527,311,11568,54,3,0,441,415,46,4,2,3,1531,426,443,43,108,67,10,2,1,1,0,34.6,98,351,718,97,233,439,10,37
Arsenal,25.8,56.9,38,67,59.9,544,178,2,2,969,119,17066,20241,8591,9363,7129,7999,1031,2022,428,1397,437,75,1826,852,1801,598,348,220,249,129,260,515,255,328,225,680,33,24056,1844,6064,10362,7808,1282,24054,726,320,14234,540,286,483,382,16894,70,6,3,401,405,80,2,3,0,1436,471,465,34,120,86,13,3,3,0,0,35.1,149,478,1210,178,200,402,53,66
Aston Villa,27.0,50.5,38,56,56.1,478,159,3,6,849,102,14701,17797,6778,7510,6555,7386,1088,2065,358,1137,319,56,1344,720,1331,637,372,293,249,95,310,546,236,329,240,788,43,21699,2646,7301,9257,5362,951,21693,726,327,12334,448,212,508,386,14423,76,4,2,406,499,55,6,3,0,1418,378,423,51,156,104,9,3,2,1,0,52.1,181,474,1182,133,299,538,59,35
Bournemouth,25.1,48.5,38,57,64.0,574,192,6,7,1012,93,12977,16900,5648,6514,5659,6670,1365,2819,437,1242,339,106,1489,754,1474,691,399,290,299,102,301,627,326,459,351,1013,22,21618,2217,6444,9314,6128,1005,21611,672,294,11733,534,228,597,350,12855,97,3,0,525,400,70,7,4,0,1821,573,606,46,172,126,9,4,4,0,0,54.8,174,465,960,158,266,460,25,62
Brentford,25.8,47.9,38,65,59.0,434,173,5,6,780,113,13358,17100,5849,6739,5826,6875,1449,2741,330,1104,325,91,1356,598,1339,633,380,289,223,121,314,596,282,480,285,1040,28,21491,3282,8328,8055,5310,987,21485,627,265,11412,380,213,549,300,13153,62,1,0,320,339,63,6,1,3,1644,624,567,57,207,153,8,1,1,0,0,53.3,264,697,1453,129,327,597,48,34
Brighton,24.8,52.3,38,64,58.7,526,183,7,7,933,113,15820,19188,7629,8443,6541,7472,1313,2397,377,1189,339,87,1539,816,1522,705,431,287,297,121,350,703,353,439,315,762,29,23677,2601,7503,10292,6153,1085,23670,797,338,13919,576,263,583,344,15637,78,3,2,438,411,46,6,9,2,1624,518,463,59,147,90,8,9,9,0,0,51.5,129,402,1178,129,243,436,29,50
Chelsea,23.7,57.1,38,61,67.8,590,203,4,5,1061,109,18033,21320,8067,8802,8244,9120,1369,2547,457,1488,346,73,1595,861,1576,588,371,243,244,101,273,536,263,356,272,695,45,25217,2410,7564,11375,6497,1115,25212,783,326,14501,493,317,466,297,17888,101,2,1,436,444,65,5,6,0,1577,402,390,43,155,111,11,6,5,1,0,45.0,105,457,1207,209,224,423,49,59
Crystal Palace,26.2,42.8,38,49,60.4,512,175,3,4,877,89,11875,15754,5198,6077,5285,6317,1137,2545,379,886,272,69,1158,510,1140,767,450,374,299,94,324,643,319,485,334,1088,19,20389,2570,7689,8441,4456,797,20385,500,209,10275,354,126,491,339,11783,80,4,3,417,403,74,4,2,3,1698,511,636,51,150,101,11,2,1,1,0,51.2,157,600,922,115,293,559,30,40
Everton,28.0,40.9,38,39,41.8,404,139,2,2,713,68,11405,14953,5039,5809,4604,5451,1526,2901,298,1003,261,92,1041,486,1023,732,433,366,269,97,338,656,318,392,345,1088,25,19408,2462,6930,7927,4762,732,19406,636,283,9535,364,119,525,390,11309,82,2,1,430,384,81,1,2,0,1524,614,564,44,163,117,12,2,0,2,0,48.8,304,806,1297,161,289,558,31,57
Fulham,28.1,52.3,38,53,49.0,516,167,3,4,940,99,16199,19753,7195,8007,7222,8198,1504,2703,398,1346,343,108,1558,786,1544,679,411,327,259,93,289,565,276,382,302,914,33,23926,2641,8095,9787,6287,954,23922,637,288,14026,544,213,515,281,16043,80,2,0,432,359,43,3,4,2,1610,533,532,54,159,106,5,4,3,1,0,48.9,141,367,1138,167,265,507,23,33
Ipswich Town,25.8,40.6,38,35,34.4,374,120,2,2,658,58,11524,14775,5157,5835,5115,5988,1021,2184,283,865,173,54,935,513,920,589,340,294,214,81,281,604,323,436,303,1102,39,19091,3012,7764,7504,4032,605,19089,643,277,9384,330,150,538,347,11405,93,5,4,430,404,52,2,6,2,1437,552,533,82,210,130,2,6,6,0,0,73.6,189,531,1000,184,306,609,71,35
Leicester City,26.6,45.4,38,33,32.6,332,105,2,3,585,56,13945,17486,6703,7482,5797,6664,1073,2370,252,953,216,67,1082,576,1072,728,431,361,278,89,336,695,359,505,327,987,31,21748,2881,8066,9845,4048,632,21745,638,264,12276,365,143,500,336,13828,87,0,0,420,393,63,3,4,3,1478,503,579,80,209,131,3,4,3,1,0,74.6,181,688,1183,178,325,599,36,36
Liverpool,27.2,57.7,38,85,82.2,639,215,9,9,1151,147,18303,21758,8615,9382,7893,8905,1412,2550,509,1583,430,83,1924,825,1910,642,391,271,267,104,340,656,316,367,299,724,31,25905,2422,7285,11575,7274,1315,25896,677,301,14931,558,322,532,350,18113,67,3,1,430,359,60,6,2,2,1621,406,368,41,138,98,14,2,1,1,0,42.2,102,325,1108,179,239,370,17,58
Manchester City,26.8,61.3,38,71,68.1,603,208,3,4,1096,125,21531,24443,11071,11923,8884,9710,1281,2040,472,1685,440,62,1944,1146,1920,497,299,183,216,98,214,449,235,331,229,619,35,28103,2092,6503,12076,9753,1348,28099,799,377,18077,863,404,476,395,21242,59,2,1,287,382,45,4,4,2,1437,310,334,44,128,86,13,4,4,0,0,46.3,112,269,1191,163,190,357,19,61
Manchester Utd,25.5,53.5,38,42,52.6,524,168,4,4,939,70,16837,20415,8233,9125,6855,7768,1257,2438,406,1141,335,73,1448,697,1433,817,493,394,305,118,400,723,323,386,358,759,26,24734,2553,8593,10460,5908,967,24730,621,252,15116,475,230,521,353,16672,86,3,1,403,371,69,4,4,2,1736,486,488,54,149,96,10,4,3,1,0,54.1,131,502,1206,148,247,455,26,30
Newcastle Utd,27.4,51.3,38,66,63.8,519,163,5,6,938,115,15416,18898,7416,8283,6475,7373,1193,2313,399,1149,399,70,1595,759,1583,603,371,275,235,93,306,604,298,411,270,884,34,23032,2284,7468,9671,6124,1082,23026,657,282,13016,474,263,491,438,15294,68,1,0,394,450,71,4,2,2,1632,487,466,47,161,115,13,2,1,1,0,47.7,90,337,863,246,251,486,49,75
Nott'ham Forest,26.1,41.2,38,57,45.5,460,162,3,3,798,91,10822,14366,5322,6094,4065,5011,1038,2339,333,974,241,64,1125,633,1117,698,419,406,225,67,343,670,327,427,322,1220,24,18996,2463,6477,7689,5063,785,18993,581,259,8768,384,187,563,324,10733,90,2,2,401,419,91,3,3,0,1588,570,559,46,165,119,13,3,3,0,0,49.1,244,698,662,83,323,710,19,12
Southampton,25.2,48.5,38,25,32.7,341,106,0,2,616,42,15530,18561,7279,7996,6699,7455,1175,2271,269,989,218,60,1127,640,1118,652,378,310,266,76,280,584,304,433,305,988,51,22776,3003,8424,9788,4766,688,22774,736,312,12656,460,165,486,355,15394,89,3,0,459,421,49,2,9,0,1440,468,421,86,245,157,3,9,7,2,0,83.8,235,707,1224,172,297,587,35,27
Tottenham,25.0,54.7,38,61,58.8,493,177,3,4,875,106,16513,19960,7576,8440,7372,8289,1101,2084,375,1254,369,83,1593,840,1582,661,414,285,271,105,296,598,302,448,322,821,41,24315,2626,8159,10173,6223,1001,24311,812,308,15073,566,249,538,426,16373,72,1,1,446,483,63,4,3,4,1659,422,437,65,180,119,6,3,3,0,0,66.6,59,195,1047,192,272,520,49,45
West Ham,28.1,48.4,38,43,47.0,473,137,3,3,815,67,14820,18363,6989,7831,6245,7153,1346,2580,331,1075,267,72,1222,632,1214,654,388,317,253,84,290,532,242,440,331,1037,28,22887,2942,8352,9852,4896,839,22884,793,347,11796,394,175,492,392,14712,82,3,2,443,397,73,2,3,3,1558,587,560,62,186,127,7,3,3,0,0,57.9,212,610,1167,174,311,614,25,42
Wolves,26.9,48.1,38,53,43.7,431,155,0,0,756,96,14472,17884,6855,7612,5909,6712,1251,2503,323,1011,276,72,1185,607,1179,801,471,412,305,84,373,669,296,437,298,947,25,22329,2578,7797,10051,4750,729,22328,731,324,12486,458,146,591,369,14358,79,2,2,480,425,62,0,9,3,1659,451,475,69,168,100,8,9,7,2,0,59.7,153,532,1020,156,244,562,40,57
Alavés,26.6,45.3,38,38,42.8,393,123,9,11,690,61,10534,14746,4546,5494,4441,5542,1312,2838,284,963,229,99,1160,449,1148,737,459,346,307,84,348,726,378,382,309,918,10,19070,1876,5802,8634,4809,691,19059,478,185,9128,346,90,598,307,10419,107,5,2,623,476,77,8,11,2,1499,639,694,48,132,86,9,11,11,0,0,46.0,361,877,869,82,307,552,36,31
Athletic Club,26.9,48.4,38,53,53.0,462,148,3,6,832,92,13665,17375,5552,6396,6520,7522,1395,2733,351,1283,274,90,1579,682,1561,577,345,240,252,85,296,579,283,353,344,911,25,21761,1884,6255,10334,5382,760,21755,791,328,11368,444,188,597,401,13522,64,3,1,483,386,68,5,5,1,1735,496,514,29,113,83,15,5,3,2,0,31.5,190,540,948,157,229,449,41,48
